"統一編號","公司名稱","負責人","公司地址","資本總額","實收資本額","在境內營運資金","公司狀態","產製日期"
"00005162","無心經營有限公司","吳O宇","南投縣埔里鎮北門里忠孝路286號一樓","500000"," "," ","核准設立","20260901033609"
"00005424","馥川建設有限公司","曾O榮","彰化縣員林市三和里三條街427號","6000000"," "," ","核准設立","20260901033609"
"00005607","晙碩有限公司","崔O碩","臺北市大安區延吉街160巷5之1號1樓","500000"," "," ","核准設立","20260901033609"
"00005661","邁素德股份有限公司","黃O廷","南投縣南投市營北里仁德路2號","290000","290000"," ","核准設立","20260901033609"
"00005796","躍贏股份有限公司","","苗栗縣竹南鎮大埔里1鄰大埔一街87號1樓","1500000","1500000"," ","解散","20260901033609"
"00006514","三合一咖啡有限公司","吳O澤","臺南市中西區南美里忠義路2段77號1樓","4000000"," "," ","核准設立","20260901033609"
"00006649","鼎倫餐飲事業有限公司","黃O倫","桃園市中壢區環西路二段369號2樓","5000000"," "," ","核准設立","20260901033609"
"00006818","自然谷企業有限公司","木O須","臺中市烏日區中山路一段212號1樓","500000"," "," ","核准設立","20260901033609"
"00007014","多結事業有限公司","賴O代","臺中市北屯區仁和里崇德路三段201號","2000000"," "," ","核准設立","20260901033609"
"00007345","灃源寓樂股份有限公司","許O六","臺中市豐原區豐榮里信義街155號地下1層","3000000","3000000"," ","核准設立","20260901033609"
"00007725","阿爸餵有限公司","魏O耀","高雄市苓雅區光華一路361號1、2樓","3000000"," "," ","核准設立","20260901033609"
"00007730","百生開發股份有限公司","呂O音","屏東縣屏東市長安里光復路364巷8之1號2樓","5000000","5000000"," ","核准設立","20260901033609"
"00007773","欣欣韓友有限公司","金O銀 KIM JIEUN","臺北市大安區羅斯福路3段247號1樓","1000000"," "," ","核准設立","20260901033609"
"00007963","鉅栐國際有限公司","陳O葳","臺中市南屯區惠中里文心路一段378號26樓之6","2000000"," "," ","核准設立","20260901033609"
"00008365","金源億生活文化有限公司","黃O軒","臺中市龍井區田中里龍北路270號","1000000"," "," ","核准設立","20260901033609"
"00008610","百璽國際有限公司","莊O湖","臺中市西區向上路一段36號6樓之3","100000"," "," ","核准設立","20260901033609"
"00008739","李家宴股份有限公司","李O","臺北市中山區民族東路190號3樓","3000000","3000000"," ","核准設立","20260901033609"
"00008772","月白大和有限公司","小O秀樹","臺北市大安區仁愛路4段112巷50之1號","510000"," "," ","核准設立","20260901033609"
"00009104","金波餐飲股份有限公司","蕭O倫","臺北市松山區興安街218號","10000000","10000000"," ","核准設立","20260901033609"
"00009152","颯可國際貿易有限公司","張O岑","臺中市西區和龍里臺灣大道二段2號8樓之5","300000"," "," ","核准設立","20260901033609"
"00009174","茗彩餐飲事業有限公司","","臺中市北區新北里三民路三段148之3號","100000"," "," ","解散","20260901033609"
"00009202","醉忘川有限公司","顧O豫","臺北市大同區延平北路2段16號1樓","500000"," "," ","核准設立","20260901033609"
"00009316","禾芯事業有限公司","洪O婷","臺中市南屯區惠中里大墩十二街258號3樓","200000"," "," ","核准設立","20260901033609"
"00009343","台南紅鼻子公園店有限公司","陳O育","臺南市北區北華里公園路201號","10000"," "," ","核准設立","20260901033609"
"00009391","旅博股份有限公司","歐O穎華","臺東縣臺東市精誠路277號","5000000","5000000"," ","核准設立","20260901033609"
"00009890","佳禾團膳餐飲有限公司","周O素女","新北市新莊區後港一路113號","16888"," "," ","核准設立","20260901033609"
"00009982","元立水產有限公司","羅O尉","新竹縣竹北市興安里縣政二路428號1樓","5000000"," "," ","核准設立","20260901033609"
"00010236","能力資源有限公司","徐O玲","新北市中和區忠孝街58巷24號（1樓）","1000000"," "," ","核准設立","20260901033609"
"00010783","良食村有限公司","","臺南市仁德區後壁里德崙路21巷39號1樓","200000"," "," ","解散","20260901033609"
"00010876","原食味國際餐飲有限公司","陳O傑","新北市三重區重陽路1段45號8樓之2","50000"," "," ","核准設立","20260901033609"
"00011328","尊爵農業科技有限公司","簡O璋","桃園市蘆竹區錦中里南崁路一段80號地下一層","20000000"," "," ","核准設立","20260901033609"
"00011495","洛克大叔鍋物有限公司","","臺北市大安區大安路1段52巷7號","5001000"," "," ","解散","20260901033609"
"00011798","参日和有限公司","","臺北市松山區南京東路4段17號8樓之5","550000"," "," ","解散","20260901033609"
"00011930","中路商行有限公司","汪O丞","新北市新莊區中華路2段210巷16號4樓","100000"," "," ","核准設立","20260901033609"
"00012179","五七餐飲有限公司","翁O斌","高雄市楠梓區外環西路57號1樓","300000"," "," ","核准設立","20260901033609"
"00012255","佑龍食品有限公司","蔣O龍","桃園市蘆竹區山林路三段281巷55弄10號","1500000"," "," ","核准設立","20260901033609"
"00012608","蜜拾花盒有限公司","張O璽","嘉義市東區安寮里興業東路62巷45號","120000"," "," ","核准設立","20260901033609"
"00012620","安秦有限公司","秦O全","新北市板橋區華興街68號","3000000"," "," ","核准設立","20260901033609"
"00012712","職室餐飲文化有限公司","葉O君","臺北市大安區文昌街236號","1700000"," "," ","核准設立","20260901033609"
"00012939","瑞心有限公司","段O翔","臺北市大安區敦化南路1段160巷10號","2000000"," "," ","核准設立","20260901033609"
"00013037","永餘林有限公司","楊O淇","新竹縣竹北市北崙里6鄰光明一路315號一樓","688888"," "," ","核准設立","20260901033609"
"00013304","波吉健康餐飲有限公司","官O錦","桃園市平鎮區金星里南京路135號(1樓)","6000000"," "," ","核准設立","20260901033609"
"00013629","沁霖生技有限公司","黃O亨","嘉義縣太保市北港路二段403巷251弄68-10號","500000"," "," ","核准設立","20260901033609"
"00013803","小塵寶有限公司","徐O豪","雲林縣林內鄉林中村新興路58-16號1樓","200000"," "," ","核准設立","20260901033609"
"00013873","永盛運動行銷有限公司","何O彬","新北市永和區保生路22巷19弄34號16樓","3000000"," "," ","核准設立","20260901033609"
"00014021","禾夥品牌顧問有限公司","洪O音","新北市中和區景平路666號3樓","200000"," "," ","核准設立","20260901033609"
"00014057","綠洲生活事業股份有限公司","王O傑","臺中市北屯區松竹里崇德三路43號3樓之2","5000000","5000000"," ","核准設立","20260901033609"
"00014628","高野山食品有限公司","","臺中市北屯區平心里安順東七街40號1樓","100000"," "," ","解散","20260901033609"
"00014710","湘頤有限公司","廖O雅","嘉義市西區仁愛路582號1樓","1000000"," "," ","核准設立","20260901033609"
"00015295","京丘有限公司","蔡O浩","臺北市大安區延吉街131巷3號","4000000"," "," ","核准設立","20260901033609"
"00015577","帝燿企業有限公司","吳O騏","臺中市西區忠誠里精誠六街20號","4420000"," "," ","核准設立","20260901033609"
"00015627","希爾賽股份有限公司","李O雯","臺北市信義區基隆路2段51號8樓之7","30000000","9210000"," ","核准設立","20260901033609"
"00015767","涎鼎饌餐飲事業有限公司","李O欣","苗栗縣竹南鎮新南里公園五街19號","1000000"," "," ","核准設立","20260901033609"
"00016034","詳富有實業有限公司","陳O呈","高雄市橋頭區隆豐路126號","2000000"," "," ","核准設立","20260901033609"
"00016082","上班族串燒有限公司","李O峯","桃園市龜山區樂善二路163號","500000"," "," ","核准設立","20260901033609"
"00016098","德興友議有限公司","","臺中市北屯區三和里東光路892巷2號11樓之9","400000"," "," ","解散","20260901033609"
"00016175","品萫餐飲有限公司","","新北市三重區三民街311號","500000"," "," ","解散","20260901033609"
"00016251","山大屋有限公司","","新北市八里區中山路2段542號(1樓)","200000"," "," ","解散","20260901033609"
"00016941","三十未央有限公司","林O玉","臺北市大安區師大路91號1樓","4010000"," "," ","核准設立","20260901033609"
"00017293","福緣地方風味有限公司","李O卿","新北市金山區仁愛路15之5號","2000000"," "," ","核准設立","20260901033609"
"00017499","崧治科技有限公司","王O惠","臺中市龍井區臺灣大道五段3巷42弄86號2樓","200000"," "," ","核准設立","20260901033609"
"00017673","簡單地方股份有限公司","徐O峻","臺北市北投區石牌路2段159號1樓","2000000","2000000"," ","核准設立","20260901033609"
"00018032","其其餐飲有限公司","","桃園市蘆竹區蘆竹里中正北路1273巷71號(1樓)","1000000"," "," ","解散","20260901033609"
"00018053","沅森食品國際有限公司","黃O荏","新北市新莊區新樹路755號5樓","100000"," "," ","核准設立","20260901033609"
"00018390","秀蘭有限公司","楊O蘭","新北市永和區福和路76巷5弄6號2樓","500000"," "," ","核准設立","20260901033609"
"00018440","原味國際貿易有限公司","謝O琳","桃園市中壢區長春六路17號(3樓)","100000"," "," ","核准設立","20260901033609"
"00018589","永凌數位科技有限公司","梁O嘉","臺中市潭子區嘉仁里仁愛路二段174巷18號3樓","2000000"," "," ","核准設立","20260901033609"
"00018624","武東餐飲有限公司","張O鑫","桃園市桃園區春日路634號1、2樓","5000000"," "," ","核准設立","20260901033609"
"00019150","坦米爾國際有限公司","DOARMARAJ RAMKY","臺北市中山區八德路2段235號1樓","1000000"," "," ","核准設立","20260901033609"
"00019399","鉅客民饕股份有限公司","胡O揚","新北市中和區民樂路76號(1樓)","285714","285714"," ","核准設立","20260901033609"
"00019519","悅揚國際文化有限公司","鄭O榕","新北市新莊區新北大道3段7號20樓之5","1000000"," "," ","核准設立","20260901033609"
"00019601","維斯柯和布蘭德有限公司","柯O娜","新北市淡水區新市二路1段82號13樓","500000"," "," ","核准設立","20260901033609"
"00019617","浦田建築事業有限公司","張O訓","宜蘭縣宜蘭市中山路二段288號1樓","1000000"," "," ","核准設立","20260901033609"
"00019692","霍寶兄弟有限公司","呂O宏","新北市淡水區中正路1段3號(1樓)","200000"," "," ","核准設立","20260901033609"
"00019980","東京公仔有限公司","加O耕太 (KATO, KOTA)","臺北市松山區南京東路4段17號8樓之5","220000"," "," ","核准設立","20260901033609"
"00020065","馥郁事業有限公司","桞O新","臺中市北屯區環太東路506號15樓之12","1700000"," "," ","核准設立","20260901033609"
"00020115","不二弄咖啡有限公司","蔡O帆","新北市新莊區中和街171號","200000"," "," ","核准設立","20260901033609"
"00021058","迷你巴巴印度料理有限公司","黃O蓁","新北市蘆洲區三民路81之2號(1樓)","500000"," "," ","核准設立","20260901033609"
"00021120","海響有限公司","蘇O融","新竹縣湖口鄉湖鏡村中正路三段116巷28弄13號（1樓）","1000000"," "," ","核准設立","20260901033609"
"00021228","突厥有限公司","YOLMAZ ONDER","臺北市大安區忠孝東路3段305號6樓之1","500000"," "," ","核准設立","20260901033609"
"00021297","嬌頭牌國際股份有限公司","房O潔","桃園市桃園區光興里縣府路110號4樓之1","10000000","1000000"," ","核准設立","20260901033609"
"00021493","現煮食餐飲股份有限公司","","臺中市西屯區鵬程里逢大路63號7樓之1","200000","200000"," ","解散","20260901033609"
"00022161","金大豐國際股份有限公司","李O盛","屏東縣萬丹鄉寶厝村西環路200號","14000000","14000000"," ","核准設立","20260901033609"
"00022394","葳中餐飲有限公司","陳O中","臺北市大同區長安西路150號1樓","1500000"," "," ","核准設立","20260901033609"
"00022459","西恩帝實業有限公司","楊O仁","臺中市北區賴興里文心路四段208之1號7樓之2","3000000"," "," ","核准設立","20260901033609"
"00022508","金瑪莉有限公司","曾O珊","高雄市鹽埕區五福四路140號1樓","4500000"," "," ","核准設立","20260901033609"
"00022583","鼎烽餐飲有限公司","曾O榮","臺中市西屯區西平里文華路150巷20號1樓","168888"," "," ","核准設立","20260901033609"
"00022606","麥樂鋒股份有限公司","ZOANG WEIFENG 張衛鋒","新竹市東區南門里南門街１２號","10000000","1000000"," ","核准設立","20260901033609"
"00022710","呷穀聞有限公司","","新北市蘆洲區中原路5巷26號","30000"," "," ","解散","20260901033609"
"00022789","振賀餐飲有限公司","沈O廷","臺中市北區建成里東成三街220號1樓","1000000"," "," ","核准設立","20260901033609"
"00022991","誠細餐飲有限公司","紀O翰","臺中市西區忠誠里精誠九街25號1樓","2000000"," "," ","核准設立","20260901033609"
"00023056","海德麗有限公司","李O妤","臺北市大安區四維路14巷7號","2400000"," "," ","核准設立","20260901033609"
"00023099","吃皇國際貿易實業有限公司","周O嫻","花蓮縣花蓮市國聯里中山路551號1樓","300000"," "," ","核准設立","20260901033609"
"00023231","鯨星開發有限公司","陳O星","臺南市東區東明里怡東路72巷3號1樓","3100000"," "," ","核准設立","20260901033609"
"00023302","聚鑫鍋物有限公司","陳O綱","新北市三重區疏洪西路52號5樓","1000000"," "," ","核准設立","20260901033609"
"00023470","臺灣農甜食品有限公司","曾O宏","新北市淡水區下圭柔山70之9號","200000"," "," ","核准設立","20260901033609"
"00023491","鉅薪餐飲事業有限公司","徐O陽","臺中市北屯區軍福十一路270號7樓","1000000"," "," ","核准設立","20260901033609"
"00023555","賧久古有限公司","盧O毅","臺北市大同區重慶北路2段198號1樓","100000"," "," ","核准設立","20260901033609"
"00023561","威力籤餐飲有限公司","盧O志","臺中市潭子區福仁里環中東路一段11號1樓","2400000"," "," ","核准設立","20260901033609"
"00023751","閎萃股份有限公司","王O偉","臺北市松山區南京東路5段102號2樓之1","2500000","2500000"," ","核准設立","20260901033609"
"00023823","惹鍋太平有限公司","何O瑋","臺中市東區十甲里精武東路9號、11號","5000000"," "," ","核准設立","20260901033609"
"00023936","小天股份有限公司","邱O義","新北市新店區北新路3段217號","30000000","30000000"," ","核准設立","20260901033609"
"00024409","福爾摩沙新創有限公司","吳O鋒","新北市土城區金城路1段58號18樓之1","100000"," "," ","核准設立","20260901033609"
"00024533","緒森國際有限公司","蕭O成","新竹縣新埔鎮五埔里新關路五埔段167巷22號一樓","2000000"," "," ","核准設立","20260901033609"
"00024745","長旺國際設計有限公司","劉O廷","臺北市信義區市民大道6段250號6樓","1000000"," "," ","核准設立","20260901033609"
"00025049","拾義有限公司","闕O軒","臺北市中山區伊通街116號","1000000"," "," ","核准設立","20260901033609"
"00025131","港到幸福有限公司","謝O懋","桃園市桃園區中正路878號(1樓)","6000000"," "," ","核准設立","20260901033609"
"00025218","昀麗餐飲有限公司","楊O迪","新北市五股區成泰路1段235號之1(一樓)","7000000"," "," ","核准設立","20260901033609"
"00025738","艾割烹有限公司","劉O瑜","臺中市北屯區舊社里旱溪西路三段190號1樓","1000000"," "," ","核准設立","20260901033609"
"00025815","新戰雙城有限公司","李O男","臺北市中山區雙城街17巷13之3號1樓","400000"," "," ","核准設立","20260901033609"
"00026032","弼宸股份有限公司","王O超","高雄市三民區建國二路208號","5000000","5000000"," ","核准設立","20260901033609"
"00026130","水晶生活美學有限公司","吳O維","桃園市中壢區青埔里青商路67號","1500000"," "," ","核准設立","20260901033609"
"00026194","莯洺有限公司","陳O鈴","臺中市中區中山路17之7之1號、17之8之1號","2000000"," "," ","核准設立","20260901033609"
"00026217","牧陞股份有限公司","蔡O儀","高雄市三民區鼎山街494號","3200000","3200000"," ","核准設立","20260901033609"
"00026455","真寵家有限公司","鄭O辰","新北市汐止區新台五路1段77號2樓之2","500000"," "," ","核准設立","20260901033609"
"00026770","東奇有限公司","陳O諭","彰化縣福興鄉廈粘村沿海路三段196-1號","5000000"," "," ","核准設立","20260901033609"
"00026820","海洺建設股份有限公司","楊O華","臺中市大里區仁化里仁堤路15號1樓","100000","100000"," ","核准設立","20260901033609"
"00026954","三永健康事業股份有限公司","蕭O勳","臺中市西屯區國安一路8號地下1樓之1","150000000","90000000"," ","核准設立","20260901033609"
"00027004","晨思創智企業有限公司","戴O德","臺中市西屯區精明路32之2號","1000000"," "," ","核准設立","20260901033609"
"00027383","嗯雞刀忠延有限公司","吳O森","臺北市大安區忠孝東路4段276號1樓","1000000"," "," ","核准設立","20260901033609"
"00027503","森元創新股份有限公司","阮O芬","臺北市士林區中山北路6段701號3樓","10000000","100000"," ","核准設立","20260901033609"
"00027763","趣趣好食股份有限公司","黃O","臺北市中山區中山北路1段51號1樓、2樓","5750000","5750000"," ","核准設立","20260901033609"
"00027882","辣味小屋有限公司","簡O強","桃園市桃園區正光路423之9號3樓","100000"," "," ","核准設立","20260901033609"
"00027927","阿凡西有限公司","黃O","臺中市西區公民里五權路2之111號18樓","660000"," "," ","核准設立","20260901033609"
"00027953","富創行銷有限公司","林O達","臺北市中正區新生南路1段160巷24號1樓","100000"," "," ","核准設立","20260901033609"
"00028427","民和健康事業股份有限公司","蕭O喬","嘉義縣太保市過溝里嘉太工業區興業路8號","12150000","12150000"," ","核准設立","20260901033609"
"00028708","祥發智慧點有限公司","黃O祥","桃園市桃園區豐林里介壽路202號","100000"," "," ","核准設立","20260901033609"
"00028926","九村國際有限公司","廖O綺","南投縣魚池鄉大林村金天巷45號","300000"," "," ","核准設立","20260901033609"
"00029024","饌天來開發股份有限公司","黃O凱","臺中市北屯區松勇里松竹路二段116號1樓","1000000","1000000"," ","核准設立","20260901033609"
"00029050","奇味餐飲有限公司","施O建智","桃園市桃園區莊敬里中正路1248號(1樓)","500000"," "," ","核准設立","20260901033609"
"00029397","台北點餓餓內湖一有限公司","胡O昇","臺北市內湖區文德路212號","510000"," "," ","核准設立","20260901033609"
"00029474","伊格有限公司","林O雯","臺中市南屯區南屯里河南路四段690巷21號1樓","500000"," "," ","核准設立","20260901033609"
"00029740","真美滿直直賺有限公司","鄭O宏","臺中市西屯區福林里福康路43號","3000000"," "," ","核准設立","20260901033609"
"00029869","香勳有限公司","李O勳","彰化縣鹿港鎮東石里鹿工南一路11-12號1樓","500000"," "," ","核准設立","20260901033609"
"00029973","黃富家餐飲有限公司","李O仁","臺北市信義區信義路6段110號","1000000"," "," ","核准設立","20260901033609"
"00030887","永勝水產有限公司","張O碩","宜蘭縣冬山鄉永安路525號2樓","3000000"," "," ","核准設立","20260901033609"
"00031767","綠野仙境有限公司","呂O芬","臺北市中正區羅斯福路3段152號4樓","10000000"," "," ","核准設立","20260901033609"
"00032386","玥亮有限公司","洪O綾","新北市中和區景平路666號3樓","200000"," "," ","核准設立","20260901033609"
"00032490","鉅栐國際有限公司","陳O葳","臺中市南屯區惠中里文心路一段378號26樓之6","2000000"," "," ","核准設立","20260901033609"
"00032528","三足烏有限公司","李O衍（JOO YEON LEE）","臺北市大安區忠孝東路4段223巷55號","300000"," "," ","核准設立","20260901033609"
"00032610","和貴興業有限公司","張O宣","臺中市東區公園東路130號2樓之2","101000"," "," ","核准設立","20260901033609"
"00032674","艾米樂事業有限公司","","高雄市三民區民族一路80號15樓之1","100000"," "," ","解散","20260901033609"
"00032837","七個不錯的日子有限公司","張O方","臺中市西屯區何成里大墩十九街188之1號","500000"," "," ","核准設立","20260901033609"
"00032956","咖啡智造有限公司","曾O翔","高雄市苓雅區四維四路2號4樓之4","1000000"," "," ","核准設立","20260901033609"
"00033076","品瑑有限公司","王O詒","桃園市中壢區大仁五街17號","1000000"," "," ","核准設立","20260901033609"
"00033218","品心創意國際有限公司","林O彤","臺北市大安區市民大道4段230號1樓","2000000"," "," ","核准設立","20260901033609"
"00033499","黑三代目餐飲有限公司","陳O盛","新北市八里區觀海大道266號","3000000"," "," ","核准設立","20260901033609"
"00033548","鵝鑫餐飲有限公司","蘇O翎","臺中市北區賴興里北平路二段108號1樓","1000000"," "," ","核准設立","20260901033609"
"00033738","玖湘餐飲有限公司","王O嵐","臺中市西區公益里忠明南路229號","2000000"," "," ","核准設立","20260901033609"
"00034758","惟寶寶有限公司","王O銳","桃園市中壢區普仁里弘揚路69號(1樓)","1500000"," "," ","核准設立","20260901033609"
"00034883","進豐實業有限公司","黃O豐","高雄市橋頭區成功路新市巷9之1號","5000000"," "," ","核准設立","20260901033609"
"00035320","恒安欣業股份有限公司","陳O彣","臺北市松山區慶城街28號地下一層之1","20000000","20000000"," ","核准設立","20260901033609"
"00035362","長順福企業有限公司","劉O修","臺北市士林區福華路164巷5號1樓","500000"," "," ","核准設立","20260901033609"
"00035601","錞利有限公司","盧O農","高雄市三民區十全三路59號","42000000"," "," ","核准設立","20260901033609"
"00035721","森林實業有限公司","王O怡","臺北市大安區忠孝東路4段166號10樓","1000000"," "," ","核准設立","20260901033609"
"00035807","野飯甜餐飲有限公司","謝O榛","臺北市中正區館前路45號1樓","800000"," "," ","核准設立","20260901033609"
"00036067","鑫魚蟹有限公司","吳O輝","屏東縣屏東市崇蘭里廣東路1350號1樓","100000"," "," ","核准設立","20260901033609"
"00037050","老井福科餐飲股份有限公司","彭O銳","臺中市西屯區福科路18號2樓","10510000","10510000"," ","核准設立","20260901033609"
"00037299","寶煌國際有限公司","楊O豪","南投縣南投市振興里芳美路302號","7000000"," "," ","核准設立","20260901033609"
"00037426","嘉樂行旅有限公司","郭O湶","臺南市北區公園里成功路2號13樓之1至之60及14樓1至61","250000"," "," ","核准設立","20260901033609"
"00037592","澳式慢活有限公司","林O新","臺北市士林區劍潭路80號1樓","200000"," "," ","核准設立","20260901033609"
"00038419","大永農業科技有限公司","洪O博","彰化縣芳苑鄉永興村永安巷10號1樓","500000"," "," ","核准設立","20260901033609"
"00038810","嗦珍的實業有限公司","李O賢","新北市三峽區復興路461號","3000000"," "," ","核准設立","20260901033609"
"00038852","台灣石田一龍有限公司","周O智","桃園市桃園區中成里永安路617號4樓之1","5000000"," "," ","核准設立","20260901033609"
"00039016","八八海鮮有限公司","林O娟","臺中市西屯區潮洋里市政北二路356號1樓","1000000"," "," ","核准設立","20260901033609"
"00039162","振順管理顧問有限公司","蘇O城","高雄市鳳山區光遠路312巷26號1樓","300000"," "," ","核准設立","20260901033609"
"00039183","悠然工作室有限公司","薛O駿","宜蘭縣冬山鄉冬山路100-2號","6000000"," "," ","核准設立","20260901033609"
"00039424","恭采有限公司","楊O麟","臺北市中山區雙城街38之1號1樓","100000"," "," ","核准設立","20260901033609"
"00039521","威汝有限公司","楊O正","臺北市士林區中山北路6段732號","12000000"," "," ","核准設立","20260901033609"
"00039888","晨曦國際事業有限公司","洪O捷","臺北市中山區民權東路3段58號12樓之1","1000000"," "," ","核准設立","20260901033609"
"00039894","尚家全球有限公司","張O玲","基隆市安樂區樂利二街62巷1號3樓","100000"," "," ","核准設立","20260901033609"
"00040007","永耀發投資有限公司","","臺北市大安區信義路4段26號5樓","100000"," "," ","解散","20260901033609"
"00040061","鱺多多有限公司","劉O亨","桃園市大園區沙崙里漁港路326號","200000"," "," ","核准設立","20260901033609"
"00040098","泰暖鍋有限公司","張O智","桃園市中壢區普仁里中山東路一段323號","2000000"," "," ","核准設立","20260901033609"
"00040169","巨臻寶股份有限公司","賴O煌","彰化縣秀水鄉復新街8號2樓","1500000000","472000000"," ","核准設立","20260901033609"
"00040219","樹淼食品有限公司","王O霖","臺中市北屯區平昌里昌平路一段91之16號","300000"," "," ","核准設立","20260901033609"
"00040246","恆泰鑫有限公司","戴O涵","臺南市永康區龍潭里龍潭街26巷27號1樓","10000000"," "," ","核准設立","20260901033609"
"00040479","萬里膳心有限公司","李O峻","桃園市平鎮區福林里福壽路2巷9號(1樓)","1000000"," "," ","核准設立","20260901033609"
"00040528","火鑫國際有限公司","陳O均","臺北市南港區忠孝東路6段460號1樓","1000000"," "," ","核准設立","20260901033609"
"00040702","呵呵有限公司","林O儀","臺北市中山區南京東路2段72號11樓","200000"," "," ","核准設立","20260901033609"
"00040837","飲覓有限公司","陳O瑜","臺北市大安區文昌街241號1樓","1000000"," "," ","核准設立","20260901033609"
"00040891","錢潮股份有限公司","廖O翔","臺北市中山區明水路672巷32號1樓","7200000","7200000"," ","核准設立","20260901033609"
"00041293","和邦興業股份有限公司","周O妤","臺北市中山區民權東路2段71巷23號1樓","150000","150000"," ","核准設立","20260901033609"
"00041940","安妞整合行銷有限公司","吳O文","臺中市豐原區圓環北路一段261號","1000000"," "," ","核准設立","20260901033609"
"00042048","道町餐飲有限公司","黃O民","臺北市信義區松山路445號1樓","7800000"," "," ","核准設立","20260901033609"
"00042194","星呈餐飲有限公司","陳O劭","宜蘭縣羅東鎮大新里公正路35號1樓","200000"," "," ","核准設立","20260901033609"
"00042504","盧記麻辣火鍋有限公司","盧O凱","臺北市大安區東豐街47號1樓","600000"," "," ","核准設立","20260901033609"
"00042547","一期一緣有限公司","KOTANI KEISUKE小谷啟祐","臺北市中山區林森北路133巷58之2號1樓","2500000"," "," ","核准設立","20260901033609"
"00042650","恆得勝科技股份有限公司","吳O璋","臺北市中正區南昌路1段54巷18號1樓","1000000","1000000"," ","核准設立","20260901033609"
"00042808","千庭股份有限公司","李O恭","臺北市中山區松江路266號2樓"," ","180100000"," ","核准設立","20260901033609"
"00042862","海希有限公司","顏O紜","新北市板橋區四川路1段102號之1","500000"," "," ","核准設立","20260901033609"
"00043068","佳仁投資有限公司","黃O秀","臺北市中山區吉林路28號1樓","20000000"," "," ","核准設立","20260901033609"
"00043145","聖畢奧有限公司","陳O武","新北市林口區文化二路1段68巷12號","1800000"," "," ","核准設立","20260901033609"
"00043200","北市科企業有限公司","吳O洲","臺北市北投區文林里文林北路222號","1000000"," "," ","核准設立","20260901033609"
"00043285","樂悠之味有限公司","陳O章","臺中市大里區長榮里益民路二段89巷46號1樓","988080"," "," ","核准設立","20260901033609"
"00043356","群星實業有限公司","王O勝","臺南市永康區永康里永大路二段941號1樓","100000"," "," ","核准設立","20260901033609"
"00043412","八北重曜有限公司","陳O勝","新北市三重區重新路1段106號(1樓)","3000000"," "," ","核准設立","20260901033609"
"00044088","昕裕娛樂有限公司","司O愛麗","桃園市桃園區復興路99號5樓之3、5樓之4","800000"," "," ","核准設立","20260901033609"
"00044138","九四美味有限公司","鄧O英","臺北市大安區浦城街57號1樓","500000"," "," ","核准設立","20260901033609"
"00044720","禾益餐飲有限公司","徐O真","彰化縣員林市惠來里三義路5號","3000000"," "," ","核准設立","20260901033609"
"00044783","寶亮健康生活事業有限公司","陳O儒","屏東縣屏東市仁愛里廣東路565號","3000000"," "," ","核准設立","20260901033609"
"00044812","騰宣有限公司","劉O正","雲林縣斗六市久安里永興路1-1號1樓","20000000"," "," ","核准設立","20260901033609"
"00045501","星幕有限公司","陳O廷","新北市三峽區中華路137巷6號13樓","100000"," "," ","核准設立","20260901033609"
"00045621","樂檸美食股份有限公司","陳O中","嘉義市東區立德街1號1樓","100000000","100000"," ","核准設立","20260901033609"
